group,prefixes
akzilakzI,akzilakzI
agocarI,agocarI
agraRI,agraRI
aNgArasAt,aNgArasAt
atiTI,atiTI
atinis,ati-nis
ati,ati
atipari,ati-pari
atipra,ati-pra
ativi,ati-vi
atyA,ati-A
atyut,ati-ud
aDi,aDi
aDini,aDi-ni
aDivi,aDi-vi
aDyava,aDi-ava
aDyut,aDi-ud
aDyupA,aDi-upa-A
anu,anu
anupari,anu-pari
anuparA,anu-parA
anuparyA,anu-pari-A
anuprati,anu-prati
anupra,anu-pra
anuprA,anu-prA
anuvi,anu-vi
anuvyava,anu-vi-ava
anuvyavA,anu-vi-ava-A
anusam,anu-sam
anusamA,anu-sam-A
anusamprA,anu-sam-prA
anUt,anu-ud
anUdA,anu-ud-A
anUpa,anu-upa
antarA,antar-A
antarI,antarI
antarupAti,antar-upa-ati
antar,antar
anvati,anu-ati
anvaBi,anu-aBi
anvavA,anu-ava-A
anvA,anu-A
apa,apa
apani,apa-ni
apaparA,apa-parA
apaprA,apa-prA
apA,apa-A
api,api
apot,apa-ud
apod,apa-ud
aBi,aBi
aBini,aBi-ni
aBinis,aBi-nis
aBipari,aBi-pari
aBiparA,aBi-parA
aBiparyA,aBi-pari-A
aBipalA,aBi-parA
aBipra,aBipra
aBiprati,aBi-prati
aBipratyavA,aBi-prati-ava-A
aBipratyA,aBi-prati-A
aBivi,aBi-vi
aBisam,aBi-sam
aBisaMvi,aBi-sam-vi
aBisaMs,aBisaMs
aBisat,aBi-sat
aBisamA,aBi-sam-A
aBisamprA,aBi-sam-prA
aByati,aBi-ati
aByanu,aBi-anu
aByapa,aBi-apa
aByapA,aBi-apa-A
aByava,aBi-ava
aByavA,aBi-ava-A
aByA,aBi-A
aByut,aBi-ud
aByud,aBi-ud
aByudA,aBi-ud-A
aByupa,aBi-upa
aByupA,aBi-upa-A
ava,ava
avas,ava-s
avA,ava-A
A,A
Aprati,A-prati
Apra,A-pra
Avi,A-vi
AvA,A-ava-A
iz,nis
ut,ud
utprA,ud-prA
ud,ud
udapA,ud-apa-A
udaBi,ud-aBi
udava,ud-ava
udA,ud-A
udvi,ud-vi
udvyud,ud-vi-ud
unni,ud-ni
upa,upa
upanis,upa-nis
upani,upa-ni
upaniz,upa-nis
upanyA,upa-ni-A
upapari,upa-pari
upaparA,upa-parA
upaparyA,upa-pari-A
upapra,upapra
upaprati,upa-prati
upaprA,upapra-A
upavi,upa-vi
upasam,upa-sam
upasaMpra,upa-sam-pra
upasaMprA,upa-sam-prA
upasamA,upa-sam-A
upahArI,upahArI
upA,upa-A
upAti,upa-ati
upADi,upa-aDi
upAnvA,upa-anu-A
upAva,upa-ava
upAvA,upa-ava-A
upot,upa-ud
upodA,upa-ud-A
upod,upa-ud
upopa,upa-upa
upopaparA,upa-upa-parA
UrDvI,UrDvI
opa,A-upa
grAsapAtrI,grAsapAtrI
tiras,tiras
nis,nis
ni,ni
nipra,ni-pra
nirvi,nis-vi
niz,nis
nizpalA,ni-s-parA
nIs,nis
nyava,ni-ava
nyavA,ni-ava-A
nyA,ni-A
parA,parA
pari,pari
pariRi,pari-ni
parinis,pari-nis
parini,pari-ni
pariniz,pari-nis
paripra,pari-pra
pariprA,pari-prA
parivi,pari-vi
pariz,pariz
parisam,pari-sam
parisamA,pari-sam-A
paryanu,pari-anu
paryava,pari-ava
paryavA,pari-ava-A
paryA,pari-A
paryut,pari-ud
paryud,pari-ud
paryupa,pari-upa
paryupA,pari-upa-A
pali,pari
pi,api
puras,puras
pra,pra
prakASI,prakASI
praRi,pra-ni
prati,prati
pratinis,prati-nis
pratini,prati-ni
pratiniz,prati-nis
pratinyA,prati-ni-A
pratiparA,prati-parA
pratipari,prati-pari
pratiparyA,prati-pari-A
pratipra,prati-pra
pratiprA,prati-prA
prativi,prati-vi
prativipari,prati-vi-pari
pratisam,prati-sam
pratisamA,prati-sam-A
pratis,prati-s
pratyakzavizayI,pratyakzavizayI
pratyaDi,prati-aDi
pratyanu,prati-anu
pratyapa,prati-apa
pratyapA,prati-apa-A
pratyaBi,prati-aBi
pratyaBipra,prati-aBipra
pratyava,prati-ava
pratyavA,prati-ava-A
pratyA,prati-A
pratyut,prati-ud
pratyudA,prati-ud-A
pratyud,prati-ud
pratyupa,prati-upa
pratyupA,prati-upa-A
pradakziRI,pradakziRI
prani,pra-ni
prapra,pra-pra
praprA,pra-prA
prabalI,prabalI
pramlAnI,pramlAnI
pravi,pra-vi
pravyA,pra-vi-A
prasam,pra-sam
pras,pra-s
prA,prA
prADI,pra-ADI
prAva,pra-ava
priyA,priyA
priyAmuKI,priyAmuKI
premarASI,premarASI
prot,pra-ud
prod,pra-ud
prOQI,prOQI
PalI,PalI
Put,Put
baDirI,baDirI
bahalI,bahalI
bahulI,bahulI
bIjA,bIjA
brAhmaRI,brAhmaRI
BadrA,BadrA
BasmA,BasmA
BasmI,BasmI
BAgI,BAgI
BAvayatI,BAvayatI
BImaBavI,BImaBavI
BftyI,BftyI
BfSI,BfSI
maYjarI,maYjarI
matI,matI
mad,mad
madrA,madrA
manI,manI
manujI,manujI
mantravaSI,mantravaSI
mandI,mandI
mayUrI,mayUrI
marU,marU
martyI,martyI
maryAdI,maryAdI
malinI,malinI
mazmazA,mazmazA
mahI,mahI
mAYjizWI,mAYjizWI
mAtrI,mAtrI
mAnuzI,mAnuzI
mArdavI,mArdavI
mAsI,mAsI
mitrI,mitrI
miTunI,miTunI
miSrI,miSrI
mukulI,mukulI
muKarI,muKarI
muYjI,muYjI
muzwI,muzwI
musalI,musalI
mUkI,mUkI
mUrKI,mUrKI
mUlI,mUlI
mfdU,mfdU
meKalI,meKalI
moGI,moGI
yAnI,yAnI
yUTI,yUTI
yUpI,yUpI
rajI,rajI
rajjU,rajjU
rahI,rahI
rAjamArgI,rAjamArgI
rASI,rASI
riktI,riktI
rUpI,rUpI
rE,rE
lakzI,lakzI
lakzyI,lakzyI
laGU,laGU
liptI,liptI
lohitI,lohitI
vakrI,vakrI
vajrasArI,vajrasArI
varaDarmI,varaDarmI
varRI,varRI
vartI,vartI
valayI,valayI
vaSI,vaSI
