prefixed_root,prefixes,unprefixed_root,hom
akzilakzIkf,akzilakzI,kf,1
agocarIkf,agocarI,kf,1
agraRIkf,agraRI,kf,1
aNgArasAtkf,aNgArasAt,kf,1
atiTIkf,atiTI,kf,1
atiTIBU,atiTI,BU,1
atinizwan,ati-nis,tan,1
atinI,ati,nI,2
atiparI,ati-pari,i,5
atipA,ati,pA,1
atipU,ati,pU,1
atipF,ati,pF,
atipravA,ati-pra,vA,2
atipraSru,ati-pra,Sru,1
atiprasad,ati-pra,sad,2
atiprahA,ati-pra,hA,2
atiBU,ati,BU,1
atiBf,ati,Bf,1
ativA,ati,vA,2
ativiDA,ati-vi,DA,1
atiSi,ati,Si,1
atizkand,ati,skand,
atizwu,ati,stu,1
atizWA,ati,sTA,1
atihve,ati,hve,
atI,ati,i,5
atyAyat,ati-A,yat,2
atyudDA,ati-ud,hA,2
aDikf,aDi,kf,1
aDikf,aDi,kf,1
aDigam,aDi,gam,1
aDigA,aDi,gA,1
aDidiS,aDi,diS,1
aDiDA,aDi,DA,1
aDiDf,aDi,Df,
aDinam,aDi,nam,
aDinizad,aDi-ni,sad,2
aDiyat,aDi,yat,2
aDiyam,aDi,yam,
aDiruh,aDi,ruh,1
aDiluW,aDi,luW,1
aDivap,aDi,vap,2
aDivas,aDi,vas,4
aDivikram,aDi-vi,kram,
aDivid,aDi,vid,3
aDivfj,aDi,vfj,1
aDivfD,aDi,vfD,
aDizu,aDi,su,1
aDizkand,aDi,skand,
aDizWA,aDi,sTA,1
aDizvan,aDi,svan,1
aDI,aDi,i,5
aDIz,aDi,iz,1
aDyavaso,aDi-ava,so,1
aDyAs,aDi,As,2
aDyutTA,aDi-ud,sTA,1
aDyudDf,aDi-ud,hf,1
aDyupekz,aDi-upa-A,Ikz,
anukamp,anu,kamp,
anukfp,anu,kfp,2
anukrand,anu,krand,
anugam,anu,gam,1
anucakz,anu,cakz,
anuci,anu,ci,2
anucCid,anu,Cid,
anucCo,anu,Co,
anujan,anu,jan,
anujalp,anu,jalp,
anuDanv,anu,Danv,
anuDI,anu,DI,1
anuDvaMs,anu,DvaMs,
anunad,anu,nad,
anunam,anu,nam,
anuparI,anu-pari,i,5
anupare,anu-parA,i,5
anuparye,anu-pari-A,i,5
anupaS,anu,paS,3
anupA,anu,pA,1
anupU,anu,pU,1
anupratizWA,anu-prati,sTA,1
anupraT,anu,praT,1
anuprapA,anu-pra,pA,1
anuprAp,anu-prA,Ap,1
anuprAs,anu-prA,as,1
anupre,anu-prA,i,5
anuprekz,anu-pra,Ikz,
anuprez,anu-prA,iz,1
anuproh,anu-prA,Uh,1
anubrU,anu,brU,
anuman,anu,man,
anuyat,anu,yat,2
anuyam,anu,yam,
anuraYj,anu,raYj,
anuram,anu,ram,
anuriz,anu,riz,1
anurI,anu,rI,1
anuruc,anu,ruc,1
anuruD,anu,ruD,1
anuruh,anu,ruh,1
anulip,anu,lip,
anuvad,anu,vad,
anuvap,anu,vap,2
anuvA,anu,vA,2
anuvikram,anu-vi,kram,
anuvid,anu,vid,1
anuvid,anu,vid,3
anuvinad,anu-vi,nad,
anuvilok,anu-vi,lok,
anuvivft,anu-vi,vft,1
anuvizic,anu-vi,sic,1
anuvizWA,anu-vi,sTA,1
anuvizyand,anu-vi,syand,
anuvI,anu-vi,i,5
anuvIkz,anu-vi,Ikz,
anuvf,anu,vf,1
anuvft,anu,vft,1
anuvezw,anu,vezw,
anuvyaD,anu,vyaD,
anuvyavagA,anu-vi-ava,gA,1
anuvyave,anu-vi-ava-A,i,5
anuSak,anu,Sak,
anuSI,anu,SI,1
anuSuc,anu,Suc,1
anuSraT,anu,SraT,
anuSru,anu,Sru,1
anuzac,anu,sac,1
anuzaYj,anu,saYj,1
anuzic,anu,sic,1
anuziD,anu,siD,1
anuzwu,anu,stu,1
anuzwuB,anu,stuB,1
anuzWA,anu,sTA,1
anuzyand,anu,syand,
anusaMKyA,anu-sam,KyA,
anusaMcar,anu-sam,car,
anusaMraB,anu-sam,raB,
anusaMsf,anu-sam,sf,
anusaMsTA,anu-sam,sTA,1
anusamAp,anu-sam,Ap,1
anusamAraB,anu-sam-A,raB,
anusami,anu-sam,i,5
anusamprAp,anu-sam-prA,Ap,1
anusf,anu,sf,
anusfj,anu,sfj,1
anusmf,anu,smf,2
anuhA,anu,hA,2
anuhf,anu,hf,1
anUkz,anu,ukz,1
anUjji,anu-ud,ji,1
anUd,anu,ud,2
anUde,anu-ud-A,i,5
anUdDA,anu-ud,hA,2
anUdDf,anu-ud,hf,1
anUnnI,anu-ud,nI,2
anUpaDA,anu-upa,DA,1
anUpasTA,anu-upa,sTA,1
antarADA,antar-A,DA,1
antarIkf,antarI,kf,1
antarupAtI,antar-upa-ati,i,5
antarDA,antar,DA,1
anvat,anu,at,2
anvatI,anu-ati,i,5
anvaBizic,anu-aBi,sic,1
anvavArj,anu-ava-A,arj,
anvavAs,anu-ava-A,as,1
anvave,anu-ava-A,i,5
anvavekz,anu-ava-A,Ikz,
anvAkram,anu-A,kram,
anvAdA,anu-A,dA,1
anvADA,anu-A,DA,1
anvABaj,anu-A,Baj,
anvAhiRq,anu-A,hiRq,
anviz,anu,iz,3
anvf,anu,f,4
anvfD,anu,fD,
anve,anu-A,i,5
apakft,apa,kft,2
apakfz,apa,kfz,1
apakF,apa,kF,1
apaguh,apa,guh,1
apacit,apa,cit,4
apacCad,apa,Cad,1
apacCid,apa,Cid,
apacyu,apa,cyu,1
apanilI,apa-ni,lI,1
apapare,apa-parA,i,5
apapruT,apa,pruT,
apapre,apa-prA,i,5
apabAD,apa,bAD,
apaBaj,apa,Baj,
apamfj,apa,mfj,1
apame,apa,me,1
apayuj,apa,yuj,1
apalap,apa,lap,1
apavad,apa,vad,
apavic,apa,vic,
apavf,apa,vf,1
apavfj,apa,vfj,1
apavft,apa,vft,1
apavye,apa,vye,
apaSvas,apa,Svas,1
apasac,apa,sac,1
apaspf,apa,spf,1
apahA,apa,hA,2
apahA,apa,hA,3
apahnu,apa,hnu,
apAdA,apa-A,dA,1
apAr,apa,f,4
apArC,apa,fC,
apAvft,apa-A,vft,1
apASri,apa-A,Sri,1
apAhf,apa-A,hf,1
apiGas,api,Gas,
apibanD,api,banD,
apimfz,api,mfz,1
apivf,api,vf,1
apivye,api,vye,
apiSF,api,SF,
apizWA,api,sTA,1
apisfj,api,sfj,1
apihve,api,hve,
ape,apa-A,i,5
apocCad,apa-ud,Cad,1
apotkfz,apa-ud,kfz,1
apodi,apa-ud,i,5
aporRu,apa-A,UrRu,
apoh,apa-A,Uh,1
apyas,api,as,2
aBikxp,aBi,kxp,
aBikzip,aBi,kzip,1
aBigAh,aBi,gAh,
aBicCad,aBi,Cad,1
aBijan,aBi,jan,
aBitan,aBi,tan,1
aBitF,aBi,tF,
aBiduh,aBi,duh,1
aBiDanv,aBi,Danv,
aBiDA,aBi,DA,1
aBiDI,aBi,DI,1
aBinakz,aBi,nakz,
aBinard,aBi,nard,
aBiniDA,aBi-ni,DA,1
aBinirmi,aBi-nis,mi,1
aBinizad,aBi-ni,sad,2
aBinI,aBi-ni,i,5
aBinu,aBi,nu,3
aBinu,aBi,nu,4
aBiparizvaYj,aBi-pari,svaYj,
aBiparihf,aBi-pari,hf,1
aBipare,aBi-parA,i,5
aBiparyAvft,aBi-pari-A,vft,1
aBiparye,aBi-pari-A,i,5
aBipale,aBi-parA,i,5
aBipA,aBi,pA,1
aBipiS,aBi,piS,1
aBipyE,aBi,pyE,
aBiprakram,aBipra,kram,
aBipracyu,aBipra,cyu,1
aBiprajan,aBipra,jan,
aBipratipad,aBi-prati,pad,1
aBipratyave,aBi-prati-ava-A,i,5
aBipratye,aBi-prati-A,i,5
aBipraT,aBi,praT,1
aBipradru,aBipra,dru,2
aBiprabuD,aBipra,buD,
aBipraman,aBipra,man,
aBipramand,aBipra,mand,1
aBipravft,aBipra,vft,1
aBiprasf,aBipra,sf,
aBiprAp,aBipra,Ap,1
aBiprArc,aBipra,arc,1
aBiprArT,aBipra,arT,
aBiprAs,aBipra,as,1
aBipre,aBipra,i,5
aBiprekz,aBipra,Ikz,
aBiprer,aBipra,Ir,
aBiprez,aBipra,iz,1
