form,root,hom,pos,modification
aktvA,aYc,1,gerund,
aktvA,aYj,,gerund,
aNgitvA,aNg,,gerund,
ajitvA,aj,,gerund,
aYcayitvA,aYc,1,gerund,caus
aYcitvA,aYc,1,gerund,
aYjayitvA,aYj,,gerund,caus
aYjitvA,aYj,,gerund,
awitvA,aw,,gerund,
atitvA,at,2,gerund,
attvA,ad,1,gerund,
anitvA,an,2,gerund,
aninizitvA,an,2,gerund,desid
aririzitvA,f,4,gerund,desid
arjayitvA,fj,,gerund,caus
arjitvA,fj,,gerund,
arTayitvA,arT,,gerund,
arditvA,ard,,gerund,
arDayitvA,fD,,gerund,caus
arDitvA,fD,,gerund,
arpayitvA,f,4,gerund,caus
arhayitvA,arh,,gerund,caus
arhitvA,arh,,gerund,
avitvA,av,,gerund,
asitvA,as,2,gerund,
astvA,as,2,gerund,
AdayitvA,ad,1,gerund,caus
AnayitvA,an,2,gerund,caus
ApayitvA,Ap,1,gerund,caus
AptvA,Ap,1,gerund,
AvayitvA,av,,gerund,caus
AsayitvA,As,2,gerund,caus
AsayitvA,as,2,gerund,caus
AsitvA,As,2,gerund,
iNgayitvA,iNg,,gerund,caus
iNgitvA,iNg,,gerund,
itvA,i,5,gerund,
idDvA,inD,,gerund,
inditvA,ind,,gerund,
ilayitvA,il,,gerund,caus
iltvA,il,,gerund,
izayitvA,iz,3,gerund,caus
izayitvA,iz,1,gerund,caus
izwvA,iz,3,gerund,
izwvA,yaj,1,gerund,
IkzitvA,Ikz,,gerund,
INKayitvA,INK,,gerund,caus
INKitvA,INK,,gerund,
IqitvA,Iq,1,gerund,
IpsitvA,Ap,1,gerund,desid
IrayitvA,Ir,,gerund,caus
IritvA,Ir,,gerund,
ISitvA,IS,1,gerund,
IzitvA,Iz,1,gerund,
IhitvA,Ih,,gerund,
uktvA,vac,,gerund,
ujJitvA,ujJ,,gerund,
uYCitvA,uYC,,gerund,
uttvA,und,2,gerund,
uditvA,vad,,gerund,
unttvA,und,2,gerund,
uptvA,vap,2,gerund,
