form,root,hom,class,person,number,mode,voice,modification
akaRqayat,kaRq,,10,3,s,ipft,para,
akaRqayata,kaRq,,10,3,s,ipft,atma,
akaRqayatam,kaRq,,10,2,d,ipft,para,
akaRqayatAm,kaRq,,10,3,d,ipft,para,
akaRqayaTAs,kaRq,,10,2,s,ipft,atma,
akaRqayaDvam,kaRq,,10,2,p,ipft,atma,
akaRqayan,kaRq,,10,3,p,ipft,para,
akaRqayanta,kaRq,,10,3,p,ipft,atma,
akaRqayam,kaRq,,10,1,s,ipft,para,
akaRqayas,kaRq,,10,2,s,ipft,para,
akaRqayAma,kaRq,,10,1,p,ipft,para,
akaRqayAmahi,kaRq,,10,1,p,ipft,atma,
akaRqayAva,kaRq,,10,1,d,ipft,para,
akaRqayAvahi,kaRq,,10,1,d,ipft,atma,
akaRqaye,kaRq,,10,1,s,ipft,atma,
akaRqayetAm,kaRq,,10,3,d,ipft,atma,
akaRqayeTAm,kaRq,,10,2,d,ipft,atma,
akaRqyata,kaRq,,,3,s,ipft,pass,
akaRqyaTAs,kaRq,,,2,s,ipft,pass,
akaRqyaDvam,kaRq,,,2,p,ipft,pass,
akaRqyanta,kaRq,,,3,p,ipft,pass,
akaRqyAmahi,kaRq,,,1,p,ipft,pass,
akaRqyAvahi,kaRq,,,1,d,ipft,pass,
akaRqye,kaRq,,,1,s,ipft,pass,
akaRqyetAm,kaRq,,,3,d,ipft,pass,
akaRqyeTAm,kaRq,,,2,d,ipft,pass,
akatTata,katT,,1,3,s,ipft,atma,
akatTaTAs,katT,,1,2,s,ipft,atma,
akatTaDvam,katT,,1,2,p,ipft,atma,
akatTanta,katT,,1,3,p,ipft,atma,
akatTAmahi,katT,,1,1,p,ipft,atma,
akatTAvahi,katT,,1,1,d,ipft,atma,
akatTe,katT,,1,1,s,ipft,atma,
akatTetAm,katT,,1,3,d,ipft,atma,
akatTeTAm,katT,,1,2,d,ipft,atma,
akatTyata,katT,,,3,s,ipft,pass,
akatTyaTAs,katT,,,2,s,ipft,pass,
akatTyaDvam,katT,,,2,p,ipft,pass,
akatTyanta,katT,,,3,p,ipft,pass,
akatTyAmahi,katT,,,1,p,ipft,pass,
