stem,root,hom,class,mode,voice,pos,modification
aBrAyitum,aBra,,,,,infinitive,
aBrya,aBra,,,,,gerund,
aBrAyitvA,aBra,,,,,gerund,
attavat,ad,1,,past,active,,
attavya,ad,1,,fut,pass,,
atta,ad,1,,past,pass,,
atsyat,ad,1,,fut,para,,
atsyamAna,ad,1,,fut,atma,,
adat,ad,1,2,pres,para,,
adanIya,ad,1,,fut,pass,,
adAna,ad,1,2,pres,atma,,
adyamAna,ad,1,,pres,pass,,
adya,ad,1,,fut,pass,,
AdanIya,ad,1,,fut,pass,,caus
Adayat,ad,1,,pres,para,,caus
AdayamAna,ad,1,,pres,atma,,caus
Adayitavya,ad,1,,fut,pass,,caus
Adayizyat,ad,1,,fut,para,,caus
AdayizyamAna,ad,1,,fut,atma,,
AdayizyamAna,ad,1,,fut,atma,,caus
AdAna,ad,1,,perf,atma,,
Aditavat,ad,1,,past,active,,caus
Adita,ad,1,,past,pass,,caus
Adivas,ad,1,,perf,para,,
AdyamAna,ad,1,,pres,pass,,caus
Adya,ad,1,,fut,pass,,caus
attum,ad#1,,,,,infinitive,
adya,ad#1,,,,,gerund,
Adayitum,ad#1,,,,,infinitive,caus
Adya,ad#1,,,,,gerund,caus
attvA,ad#1,,,,,gerund,
AdayitvA,ad#1,,,,,gerund,caus
aDvarIyitum,aDvara,,,,,infinitive,
aDvarya,aDvara,,,,,gerund,
aDvaryitum,aDvara,,,,,infinitive,
aDvarIyitvA,aDvara,,,,,gerund,
aDvaryitvA,aDvara,,,,,gerund,
aGAyitum,aGa,,,,,infinitive,
aGya,aGa,,,,,gerund,
aGAyitvA,aGa,,,,,gerund,
agadya,agada,,,,,gerund,
agadyitum,agada,,,,,infinitive,
agadyitvA,agada,,,,,gerund,
aktavat,aj,,,past,active,,
aktavya,aj,,,fut,pass,,
akta,aj,,,past,pass,,
akzyat,aj,,,fut,para,,
akzyamAna,aj,,,fut,atma,,
ajat,aj,,1,pres,para,,
ajanIya,aj,,,fut,pass,,
ajamAna,aj,,1,pres,atma,,
ajyamAna,aj,,,pres,pass,,
ajya,aj,,,fut,pass,,
AjAna,aj,,,perf,atma,,
Ajivas,aj,,,perf,para,,
ajitum,aj,,,,,infinitive,
ajya,aj,,,,,gerund,
ajitvA,aj,,,,,gerund,
ajirAyitum,ajira,,,,,infinitive,
ajirya,ajira,,,,,gerund,
ajirAyitvA,ajira,,,,,gerund,
AkarRayitum,AkarRa,,,,,infinitive,
AkarRya,AkarRa,,,,,gerund,
AkarRayitvA,AkarRa,,,,,gerund,
Akulayitum,Akula,,,,,infinitive,
Akulya,Akula,,,,,gerund,
AkulayitvA,Akula,,,,,gerund,
akzaRIya,akz,,,fut,pass,,
akzat,akz,,1,pres,para,,
akzamAna,akz,,1,pres,atma,,
akzitavya,akz,,,fut,pass,,
akzizyat,akz,,,fut,para,,
akzizyamAna,akz,,,fut,atma,,
akzyat,akz,,,fut,para,,
akzyamAna,akz,,,fut,atma,,
akzyamAna,akz,,,pres,pass,,
akzya,akz,,,fut,pass,,
azwavya,akz,,,fut,pass,,
AnakzARa,akz,,,perf,atma,,
Anakzvas,akz,,,perf,para,,
akzitum,akz,,,,,infinitive,
azwum,akz,,,,,infinitive,
amItum,am,,,,,infinitive,
Anya,am,,,,,gerund,
Amayitum,am,,,,,infinitive,caus
Amya,am,,,,,gerund,caus
amitvA,am,,,,,gerund,
AmayitvA,am,,,,,gerund,caus
amitrayitum,amitra,,,,,infinitive,
amitrya,amitra,,,,,gerund,
amitrayitvA,amitra,,,,,gerund,
aMSayitum,aMSa,,,,,infinitive,
aMSya,aMSa,,,,,gerund,
aMSayitvA,aMSa,,,,,gerund,
anat,an,2,2,pres,para,,
ananinizvas,an,2,,perf,para,,desid
anAna,an,2,2,pres,atma,,
anitavat,an,2,,past,active,,
anita,an,2,,past,pass,,
aninizaRIya,an,2,,fut,pass,,desid
aninizat,an,2,,pres,para,,desid
aninizitavat,an,2,,past,active,,desid
aninizita,an,2,,past,pass,,desid
anizyat,an,2,,fut,para,,
anizyamAna,an,2,,fut,atma,,
AnanIya,an,2,,fut,pass,,caus
Anayat,an,2,,pres,para,,caus
AnayamAna,an,2,,pres,atma,,caus
Anayizyat,an,2,,fut,para,,caus
AnayizyamAna,an,2,,fut,atma,,
AnayizyamAna,an,2,,fut,atma,,caus
AnAna,an,2,,perf,atma,,
Anitavat,an,2,,past,active,,caus
Anita,an,2,,past,pass,,caus
Anivas,an,2,,perf,para,,
AnyamAna,an,2,,pres,pass,,caus
Anya,an,2,,fut,pass,,caus
anitum,an#2,,,,,infinitive,
aninizitum,an#2,,,,,infinitive,desid
aninizya,an#2,,,,,gerund,desid
anya,an#2,,,,,gerund,
Anayitum,an#2,,,,,infinitive,caus
Anya,an#2,,,,,gerund,caus
anitvA,an#2,,,,,gerund,
aninizitvA,an#2,,,,,gerund,desid
AnayitvA,an#2,,,,,gerund,caus
anDayitum,anDa,,,,,infinitive,
anDya,anDa,,,,,gerund,
anDayitvA,anDa,,,,,gerund,
aNkzyat,aNg,,,fut,para,,
