verb,infinitve of purpose,past participle,active past participle,past passive participle,potential passive participle,root,stems,mode,voice,pos,modification
,,,,,,aBra,aBrAyitum,,,infinitive,
,,,,,,aBra,aBrya,,,gerund,
,,,,,,aBra,aBrAyitvA,,,gerund,
,,,,,,ad,attavat,past,active,,
,,,,,,ad,attavya,fut,pass,,
,,,,,,ad,atta,past,pass,,
,,,,,,ad,atsyat,fut,para,,
,,,,,,ad,atsyamAna,fut,atma,,
,,,,,,ad,adanIya,fut,pass,,
,,,,,,ad,adAna,pres,atma,,
,,,,,,ad,adyamAna,pres,pass,,
,,,,,,ad,adya,fut,pass,,
,,,,,,ad,AdanIya,fut,pass,,caus
,,,,,,ad,Adayat,pres,para,,caus
,,,,,,ad,AdayamAna,pres,atma,,caus
,,,,,,ad,Adayitavya,fut,pass,,caus
,,,,,,ad,Adayizyat,fut,para,,caus
,,,,,,ad,AdayizyamAna,fut,atma,,
,,,,,,ad,AdayizyamAna,fut,atma,,caus
,,,,,,ad,AdAna,perf,atma,,
,,,,,,ad,Aditavat,past,active,,caus
,,,,,,ad,Adita,past,pass,,caus
,,,,,,ad,Adivas,perf,para,,
,,,,,,ad,AdyamAna,pres,pass,,caus
,,,,,,ad,Adya,fut,pass,,caus
,,,,,,ad#1,attum,,,infinitive,
,,,,,,ad#1,adya,,,gerund,
,,,,,,ad#1,Adayitum,,,infinitive,caus
,,,,,,ad#1,Adya,,,gerund,caus
,,,,,,ad#1,attvA,,,gerund,
,,,,,,ad#1,AdayitvA,,,gerund,caus
,,,,,,aDvara,aDvarIyitum,,,infinitive,
,,,,,,aDvara,aDvarya,,,gerund,
,,,,,,aDvara,aDvaryitum,,,infinitive,
,,,,,,aDvara,aDvarIyitvA,,,gerund,
,,,,,,aDvara,aDvaryitvA,,,gerund,
,,,,,,aGa,aGAyitum,,,infinitive,
,,,,,,aGa,aGya,,,gerund,
,,,,,,aGa,aGAyitvA,,,gerund,
,,,,,,agada,agadya,,,gerund,
,,,,,,agada,agadyitum,,,infinitive,
,,,,,,agada,agadyitvA,,,gerund,
,,,,,,aj,aktavat,past,active,,
,,,,,,aj,aktavya,fut,pass,,
,,,,,,aj,akta,past,pass,,
,,,,,,aj,akzyat,fut,para,,
,,,,,,aj,akzyamAna,fut,atma,,
,,,,,,aj,ajat,pres,para,,
,,,,,,aj,ajanIya,fut,pass,,
,,,,,,aj,ajamAna,pres,atma,,
,,,,,,aj,ajyamAna,pres,pass,,
,,,,,,aj,ajya,fut,pass,,
,,,,,,aj,AjAna,perf,atma,,
,,,,,,aj,Ajivas,perf,para,,
,,,,,,aj,ajitum,,,infinitive,
,,,,,,aj,ajya,,,gerund,
,,,,,,aj,ajitvA,,,gerund,
,,,,,,ajira,ajirAyitum,,,infinitive,
,,,,,,ajira,ajirya,,,gerund,
,,,,,,ajira,ajirAyitvA,,,gerund,
,,,,,,AkarRa,AkarRayitum,,,infinitive,
,,,,,,AkarRa,AkarRya,,,gerund,
,,,,,,AkarRa,AkarRayitvA,,,gerund,
,,,,,,Akula,Akulayitum,,,infinitive,
,,,,,,Akula,Akulya,,,gerund,
,,,,,,Akula,AkulayitvA,,,gerund,
,,,,,,akz,akzaRIya,fut,pass,,
,,,,,,akz,akzat,pres,para,,
,,,,,,akz,akzamAna,pres,atma,,
,,,,,,akz,akzitavya,fut,pass,,
,,,,,,akz,akzizyat,fut,para,,
,,,,,,akz,akzizyamAna,fut,atma,,
,,,,,,akz,akzyat,fut,para,,
,,,,,,akz,akzyamAna,fut,atma,,
,,,,,,akz,akzyamAna,pres,pass,,
,,,,,,akz,akzya,fut,pass,,
,,,,,,akz,azwavya,fut,pass,,
,,,,,,akz,AnakzARa,perf,atma,,
,,,,,,akz,Anakzvas,perf,para,,
,,,,,,akz,akzitum,,,infinitive,
,,,,,,akz,azwum,,,infinitive,
,,,,,,am,amItum,,,infinitive,
,,,,,,am,Anya,,,gerund,
,,,,,,am,Amayitum,,,infinitive,caus
,,,,,,am,Amya,,,gerund,caus
,,,,,,am,amitvA,,,gerund,
,,,,,,am,AmayitvA,,,gerund,caus
,,,,,,amitra,amitrayitum,,,infinitive,
,,,,,,amitra,amitrya,,,gerund,
,,,,,,amitra,amitrayitvA,,,gerund,
,,,,,,aMSa,aMSayitum,,,infinitive,
,,,,,,aMSa,aMSya,,,gerund,
,,,,,,aMSa,aMSayitvA,,,gerund,
,,,,,,an,anat,pres,para,,
,,,,,,an,ananinizvas,perf,para,,desid
,,,,,,an,anAna,pres,atma,,
,,,,,,an,anitavat,past,active,,
,,,,,,an,anita,past,pass,,
,,,,,,an,aninizaRIya,fut,pass,,desid
,,,,,,an,aninizat,pres,para,,desid
,,,,,,an,aninizitavat,past,active,,desid
,,,,,,an,aninizita,past,pass,,desid
,,,,,,an,anizyat,fut,para,,
,,,,,,an,anizyamAna,fut,atma,,
,,,,,,an,AnanIya,fut,pass,,caus
,,,,,,an,Anayat,pres,para,,caus
,,,,,,an,AnayamAna,pres,atma,,caus
,,,,,,an,Anayizyat,fut,para,,caus
,,,,,,an,AnayizyamAna,fut,atma,,
,,,,,,an,AnayizyamAna,fut,atma,,caus
,,,,,,an,AnAna,perf,atma,,
,,,,,,an,Anitavat,past,active,,caus
,,,,,,an,Anita,past,pass,,caus
,,,,,,an,Anivas,perf,para,,
,,,,,,an,AnyamAna,pres,pass,,caus
,,,,,,an,Anya,fut,pass,,caus
,,,,,,an#2,anitum,,,infinitive,
