form,root,pos,modification,,,,,,,,,
aMSayitvA,aMSa,gerund,,,,aMSayitvA,aMSa,,,,,gerund
aktvA,aYc,gerund,,,,aktvA,aYc,,,,,gerund
aktvA,aYj,gerund,,,,aktvA,aYj,,,,,gerund
agadyitvA,agada,gerund,,,,agadyitvA,agada,,,,,gerund
aGAyitvA,aGa,gerund,,,,aGAyitvA,aGa,,,,,gerund
aNkayitvA,aNka,gerund,,,,aNkayitvA,aNka,,,,,gerund
aNKayitvA,aNKa,gerund,,,,aNKayitvA,aNKa,,,,,gerund
aNgitvA,aNg,gerund,,,,aNgitvA,aNg,,,,,gerund
ajitvA,aj,gerund,,,,ajitvA,aj,,,,,gerund
ajirAyitvA,ajira,gerund,,,,ajirAyitvA,ajira,,,,,gerund
aYcayitvA,aYc,gerund,caus,,,aYcayitvA,aYc,,,,,gerund
aYcitvA,aYc,gerund,,,,aYcitvA,aYc,,,,,gerund
aYjayitvA,aYj,gerund,caus,,,aYjayitvA,aYj,,,,,gerund
aYjitvA,aYj,gerund,,,,aYjitvA,aYj,,,,,gerund
awitvA,aw,gerund,,,,awitvA,aw,,,,,gerund
atitvA,at,gerund,,,,atitvA,at,,,,,gerund
attvA,ad#1,gerund,,,,attvA,ad#1,,,,,gerund
aDvarIyitvA,aDvara,gerund,,,,aDvarIyitvA,aDvara,,,,,gerund
aDvaryitvA,aDvara,gerund,,,,aDvaryitvA,aDvara,,,,,gerund
anitvA,an#2,gerund,,,,anitvA,an#2,,,,,gerund
aninizitvA,an#2,gerund,desid,,,aninizitvA,an#2,,,,,gerund
anDayitvA,anDa,gerund,,,,anDayitvA,anDa,,,,,gerund
apsarAyitvA,apsaras,gerund,,,,apsarAyitvA,apsaras,,,,,gerund
aBrAyitvA,aBra,gerund,,,,aBrAyitvA,aBra,,,,,gerund
amitrayitvA,amitra,gerund,,,,amitrayitvA,amitra,,,,,gerund
amitvA,am,gerund,,,,amitvA,am,,,,,gerund
aririzitvA,f,gerund,desid,,,aririzitvA,f,,,,,gerund
arcayitvA,fc#1,gerund,caus,,,arcayitvA,fc#1,,,,,gerund
arcicizitvA,fc#1,gerund,desid,,,arcicizitvA,fc#1,,,,,gerund
arcitvA,fc#1,gerund,,,,arcitvA,fc#1,,,,,gerund
arjayitvA,fj,gerund,caus,,,arjayitvA,fj,,,,,gerund
arjitvA,fj,gerund,,,,arjitvA,fj,,,,,gerund
arTayitvA,arT,gerund,,,,arTayitvA,arT,,,,,gerund
arditvA,ard,gerund,,,,arditvA,ard,,,,,gerund
arDayitvA,fD,gerund,caus,,,arDayitvA,fD,,,,,gerund
arDitvA,fD,gerund,,,,arDitvA,fD,,,,,gerund
arpayitvA,f,gerund,caus,,,arpayitvA,f,,,,,gerund
arhayitvA,arh,gerund,caus,,,arhayitvA,arh,,,,,gerund
arhitvA,arh,gerund,,,,arhitvA,arh,,,,,gerund
avitvA,av,gerund,,,,avitvA,av,,,,,gerund
aSanAyitvA,aSana#2,gerund,,,,aSanAyitvA,aSana#2,,,,,gerund
aSanIyitvA,aSana#2,gerund,,,,aSanIyitvA,aSana#2,,,,,gerund
aSitvA,aS#1,gerund,,,,aSitvA,aS#1,,,,,gerund
aSitvA,aS#2,gerund,,,,aSitvA,aS#2,,,,,gerund
aSvasyitvA,aSva,gerund,,,,aSvasyitvA,aSva,,,,,gerund
aSvAyitvA,aSva,gerund,,,,aSvAyitvA,aSva,,,,,gerund
azwvA,aS#1,gerund,,,,azwvA,aS#1,,,,,gerund
asitvA,as#2,gerund,,,,asitvA,as#2,,,,,gerund
asUyitvA,asUya,gerund,,,,asUyitvA,asUya,,,,,gerund
astvA,as#2,gerund,,,,astvA,as#2,,,,,gerund
AkarRayitvA,AkarRa,gerund,,,,AkarRayitvA,AkarRa,,,,,gerund
AkulayitvA,Akula,gerund,,,,AkulayitvA,Akula,,,,,gerund
AdayitvA,ad#1,gerund,caus,,,AdayitvA,ad#1,,,,,gerund
AnayitvA,an#2,gerund,caus,,,AnayitvA,an#2,,,,,gerund
ApayitvA,Ap,gerund,caus,,,ApayitvA,Ap,,,,,gerund
AptvA,Ap,gerund,,,,AptvA,Ap,,,,,gerund
AmayitvA,am,gerund,caus,,,AmayitvA,am,,,,,gerund
AvayitvA,av,gerund,caus,,,AvayitvA,av,,,,,gerund
AvilayitvA,Avila,gerund,,,,AvilayitvA,Avila,,,,,gerund
ASayitvA,aS#2,gerund,caus,,,ASayitvA,aS#2,,,,,gerund
AsayitvA,As#2,gerund,caus,,,AsayitvA,As#2,,,,,gerund
AsayitvA,as#2,gerund,caus,,,AsayitvA,as#2,,,,,gerund
AsitvA,As#2,gerund,,,,AsitvA,As#2,,,,,gerund
iNgayitvA,iNg,gerund,caus,,,iNgayitvA,iNg,,,,,gerund
iNgitvA,iNg,gerund,,,,iNgitvA,iNg,,,,,gerund
itvA,i,gerund,,,,itvA,i,,,,,gerund
idDvA,inD,gerund,,,,idDvA,inD,,,,,gerund
intvA,in,gerund,,,,intvA,in,,,,,gerund
inditvA,ind,gerund,,,,inditvA,ind,,,,,gerund
invitvA,inv,gerund,,,,invitvA,inv,,,,,gerund
irasyitvA,iras,gerund,,,,irasyitvA,iras,,,,,gerund
ilayitvA,il,gerund,caus,,,ilayitvA,il,,,,,gerund
iltvA,il,gerund,,,,iltvA,il,,,,,gerund
izayitvA,iz#1,gerund,caus,,,izayitvA,iz#1,,,,,gerund
izayitvA,iz#2,gerund,caus,,,izayitvA,iz#2,,,,,gerund
izuDyitvA,izuDi,gerund,,,,izuDyitvA,izuDi,,,,,gerund
izwvA,iz#1,gerund,,,,izwvA,iz#1,,,,,gerund
izwvA,yaj#1,gerund,,,,izwvA,yaj#1,,,,,gerund
IkzitvA,Ikz,gerund,,,,IkzitvA,Ikz,,,,,gerund
INKayitvA,INK,gerund,caus,,,INKayitvA,INK,,,,,gerund
INKitvA,INK,gerund,,,,INKitvA,INK,,,,,gerund
IqitvA,Iq,gerund,,,,IqitvA,Iq,,,,,gerund
IpsitvA,Ap,gerund,desid,,,IpsitvA,Ap,,,,,gerund
IrayitvA,Ir,gerund,caus,,,IrayitvA,Ir,,,,,gerund
IritvA,Ir,gerund,,,,IritvA,Ir,,,,,gerund
IrzitvA,Irz,gerund,,,,IrzitvA,Irz,,,,,gerund
ISitvA,IS#1,gerund,,,,ISitvA,IS#1,,,,,gerund
IzitvA,Iz,gerund,,,,IzitvA,Iz,,,,,gerund
IhitvA,Ih,gerund,,,,IhitvA,Ih,,,,,gerund
uktvA,vac,gerund,,,,uktvA,vac,,,,,gerund
ukzitvA,ukz,gerund,,,,ukzitvA,ukz,,,,,gerund
ujJitvA,ujJ,gerund,,,,ujJitvA,ujJ,,,,,gerund
uYCitvA,uYC,gerund,,,,uYCitvA,uYC,,,,,gerund
utkaRWayitvA,utkaRW,gerund,caus,,,utkaRWayitvA,utkaRW,,,,,gerund
utkaRWitvA,utkaRW,gerund,,,,utkaRWitvA,utkaRW,,,,,gerund
uttvA,und,gerund,,,,uttvA,und,,,,,gerund
utvA,vA#3,gerund,,,,utvA,vA#3,,,,,gerund
udakIyitvA,udaka,gerund,,,,udakIyitvA,udaka,,,,,gerund
udanyitvA,udan,gerund,,,,udanyitvA,udan,,,,,gerund
uditvA,vad,gerund,,,,uditvA,vad,,,,,gerund
unttvA,und,gerund,,,,unttvA,und,,,,,gerund
unmanAyitvA,unmanas,gerund,,,,unmanAyitvA,unmanas,,,,,gerund
uptvA,vap#1,gerund,,,,uptvA,vap#1,,,,,gerund
uptvA,vap#2,gerund,,,,uptvA,vap#2,,,,,gerund
ubDvA,umB,gerund,,,,ubDvA,umB,,,,,gerund
umBitvA,umB,gerund,,,,umBitvA,umB,,,,,gerund
urasyitvA,uras,gerund,,,,urasyitvA,uras,,,,,gerund
